name;pdf;acquired;expires
Cisco Certified Network Associate;Cisco Certified Network Associate certificate.pdf;Jun 8, 2024;Jun 27, 2028
Cisco Certified DevNet Associate;Cisco Certified DevNet Associate certificate.pdf;Jun 27, 2028;Jun 27, 2028
Cisco Certified Cybersecurity Associate;Cisco Certified Cybersecurity Associate certificate.pdf;Nov 30, 2024;Jun 27, 2028
CompTIA Security+;CompTIA Security+ ce certificate.pdf;Dec 7, 2024;Dec 7, 2027
CompTIA Network+;CompTIA Network+ ce certificate.pdf;Nov 29, 2023;Nov 29, 2029
CompTIA Cloud+;CompTIA Cloud+ ce certificate.pdf;Feb 11, 2024;Feb 11, 2027
CompTIA Project+;CompTIA Project+ certificate.pdf;Sep 16, 2024;Never
CompTIA A+;CompTIA A+ ce certificate.pdf;Jun 23, 2023;Nov 29, 2029
Google Cybersecurity - Coursera;Coursera - Google CyberSecurity.pdf;Dec 17, 2024;Never
LPI Linux Essentials;LPI Linux Essentials.pdf;Aug 19, 2023;Never
